Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
Mobile App Development,Hybrid,9.8,Work Ethic,"MATLAB, TypeScript","Firebase, Android Studio, Gradle","Project Management Professional (PMP), Docker Certified Associate",False,False,2,"Mentorship Programs, Online Coding Contests, Coding Clubs","Mobile Application Development, Economics, Data Structures and Algorithms",4,"Innovative Thinking, Big Picture Thinker",Mobile Developer (Android)
"Quantum Computing, Product Management, IoT (Internet of Things)",Hybrid,9.2,"Problem Solving, Empathy, Multitasking",Scala,"GitLab CI/CD, React","Project Management Professional (PMP), Cisco CCNA",False,False,6,"Online Coding Contests, Student Government, Startup Ideation Events","Machine Learning, Cyber Security, Ethical Hacking, Computer Architecture",0,"Creative, Data-driven",Bioinformatics Engineer
"Quantum Computing, Systems Programming",Remote,6.8,"Attention to Detail, Customer Focus, Decision Making",,"Google Colab, Weights & Biases",AWS Certified Security Specialty,True,True,2,"Teaching/TA Work, Coding Clubs","Artificial Intelligence, IoT (Internet of Things), Data Mining, Computer Architecture",2,Collaborative,Research Intern (AI/ML)
"Database Engineering, Software Engineering",Hybrid,8.6,Resilience,"SQL, Lisp, Dart, Shell (Bash)","AWS, MongoDB, Sketch, Git, Unreal Engine","AWS Certified Cloud Practitioner, Backend Development (Node.js), Microsoft Certified: SQL Associate, Oracle Certified Java Programmer",False,False,3,"Mentorship Programs, Community Service, Event Management","Data Structures and Algorithms, Bioinformatics, Object-Oriented Programming",1,"Problem Solving, Pragmatic",Software Developer (Backend)
"Frontend Development, UI/UX Design",Hybrid,9.2,Conflict Resolution,PHP,"React, NumPy",HashiCorp Certified: Terraform Associate,True,True,6,Mentorship Programs,"Web Technologies, Cloud Computing, Computer Architecture, Machine Learning",4,"Creative, Intuitive",Software Developer (Frontend)
"Deep Learning, Ethical Hacking",On-site,8.5,Conflict Resolution,Kotlin,"GitHub, React Native, Cypress",,False,False,6,"Gaming, Workshop Hosting, Open Source Contributions","Linear Algebra, Virtualization and Containers",3,"Detail-Oriented, Pragmatic",Systems Engineer
"Machine Learning, Human Computer Interaction, Game Development",On-site,6.5,"Collaboration, Creative Thinking","Python, Lisp, Go, Julia","Spark, Adobe XD, MySQL, Tableau","AWS Certified Cloud Practitioner, Tableau Desktop Specialist, Microsoft Certified Azure Fundamentals",True,True,1,"Entrepreneurship Clubs, Tech Meetups","Compiler Design, Ethical Hacking, Computer Architecture",2,Experimental,Database Administrator
"Cloud Computing, Ethical Hacking",On-site,6.5,"Negotiation, Work Ethic",,"Docker, Ansible","Google Cloud Associate Cloud Engineer, AWS Certified Cloud Practitioner, Microsoft Certified Azure Fundamentals, AWS Certified Solutions Architect - Associate",True,True,4,AR/VR Projects,"Information Security, Security, Sociology, Cloud Computing",3,"Systematic, User-Centered",Cloud Engineer
"DevOps, Deep Learning, Academic Research",On-site,9.7,"Leadership, Multitasking, Time Management, Negotiation, Resilience","Python, C++","Spark, Adobe XD, Xcode",,False,False,1,"Student Government, Graphic Design, Mentorship Programs, Hackathons","Artificial Intelligence, User Interface Design",3,"Strategic, Result-Oriented",Data Engineer
"Networking, DevOps",Hybrid,6.8,"Creative Thinking, Communication, Problem Solving","Lisp, Julia, Scala","Kubernetes, GCP, Terraform",,False,False,3,3D Modeling,"Security, Operating Systems",4,Problem Solving,Cloud Engineer
"Cybersecurity, Academic Research",Hybrid,9.5,Active Listening,JavaScript,"Adobe XD, Canva, Airflow, AWS, Terraform",Frontend Development Libraries (freeCodeCamp),True,True,4,Graphic Design,"Natural Language Processing, Computer Architecture, Object-Oriented Programming",2,User-Centered,Software Test Automation Engineer
"Quantum Computing, Design Systems",On-site,8.3,"Creative Thinking, Time Management",,"Express.js, Docker, Insomnia, Weights & Biases, VS Code, Android Studio",,False,False,3,"Tech Meetups, Debate Clubs, UI/UX Projects","Cloud Infrastructure, Information Security, Software Engineering",2,Systematic,Embedded Systems Engineer
"Natural Language Processing, Education Technology",Hybrid,9.4,"Leadership, Analytical Thinking, Adaptability, Decision Making, Communication",Scala,"Node.js, InVision","AWS Certified Security Specialty, Project Management Professional (PMP), Microsoft Certified: Azure AI Engineer",True,True,1,"Music, Podcast Creation","Chemistry, Technical Communication",4,"Systematic, Pragmatic",Ph.D. Candidate
"Web Development, Business Analysis, Systems Programming",Remote,6.7,"Active Listening, Planning and Organization, Communication, Decision Making, Collaboration",HTML,"Sketch, ELK Stack, MongoDB, Tableau","Backend Development (Node.js), Google UX Design Certificate",True,True,7,"Event Management, UI/UX Projects, Startup Ideation Events, Workshop Hosting","Database Management Systems, Object-Oriented Programming",0,Big Picture Thinker,Platform Engineer
"Backend Development, Data Science, UI/UX Design",Remote,7.4,"Analytical Thinking, Presentation Skills, Customer Focus, Resilience",,"Node.js, Insomnia, DBT","Microsoft Certified: Power BI Data Analyst Associate, CompTIA Security+, Microsoft Certified Azure Fundamentals",True,False,3,"Video Editing, Tech Meetups, Technical Writing, Mentorship Programs","Sociology, Ethical Hacking",1,"Detail-Oriented, Analytical",Cybersecurity Analyst
"Deep Learning, Site Reliability Engineering (SRE), Education Technology",Hybrid,6.9,"Decision Making, Planning and Organization, Leadership, Attention to Detail, Active Listening","Lisp, HTML, Java","Angular, Spring Boot","Certified ScrumMaster (CSM), Microsoft Certified Azure Fundamentals, Responsive Web Design (freeCodeCamp)",True,True,8,"Blogging, Case Competitions, Animation Design","Compiler Design, Sociology",3,Detail-Oriented,AR/VR Developer
Frontend Development,Hybrid,6.5,"Communication, Collaboration, Presentation Skills","Java, TypeScript","AWS, Git",,True,True,3,"Mentorship Programs, AR/VR Projects, Online Coding Contests","Software Engineering, Database Management Systems, Object-Oriented Programming, Operating Systems",1,"Systematic, Logical",Full Stack Developer
"Big Data, Software Engineering, Business Analysis",Hybrid,8.5,"Active Listening, Strategic Thinking, Decision Making, Customer Focus, Empathy",,"Jupyter Notebook, PyTorch",,True,True,8,"Hackathons, Student Government","User Interface Design, Linear Algebra, Theory of Computation, Ethical Hacking",0,Critical Thinking,Data Scientist
"Quantum Computing, Systems Programming",On-site,7.9,"Communication, Attention to Detail, Business Communication, Critical Thinking","SQL, Lisp, Ruby","React Native, Weights & Biases, Google Colab, Ansible, Node.js","Frontend Development Libraries (freeCodeCamp), Microsoft Certified: Power BI Data Analyst Associate",True,True,6,Photography,"Business Intelligence, Ethical Hacking, Object-Oriented Programming, Computer Vision",3,"Collaborative, Intuitive",Research Intern (AI/ML)
Finance Technology,Remote,6.0,Teamwork,PowerShell,"PyCharm, Android Studio, DBT, Grafana","Backend Development (Node.js), Docker Certified Associate, Certified Ethical Hacker (CEH)",False,False,2,"UI/UX Projects, Coding Clubs, Podcast Creation","User Interface Design, Bioinformatics",0,"Detail-Oriented, User-Centered",Quality Assurance Engineer
"DevOps, Cybersecurity, UI/UX Design",Hybrid,7.9,"Conflict Resolution, Adaptability","Kotlin, Shell (Bash), Haskell","Node.js, Insomnia, MongoDB, CircleCI","iOS App Development with Swift (Apple), Cisco CCNA, Google UX Design Certificate",True,True,4,"Video Editing, Debate Clubs, Blogging, Workshop Hosting","Ethical Hacking, Operating Systems",0,Analytical,Cybersecurity Analyst
"Networking, Embedded Systems, Quality Assurance / Testing",Hybrid,8.7,Business Communication,Haskell,"Confluence, MySQL, InVision",,False,True,1,"Hackathons, Innovation Challenges","Software Engineering, Robotics, Psychology",4,"Strategic, Intuitive",Network Engineer
"Entrepreneurship, IoT (Internet of Things)",Hybrid,6.8,"Empathy, Teamwork, Goal-Oriented Mindset, Problem Solving, Presentation Skills",Java,"Power BI, Angular, React, Azure","Certified Ethical Hacker (CEH), Microsoft Certified: Azure AI Engineer",False,False,2,"Coding Clubs, Innovation Challenges, Music","Linear Algebra, Ethical Hacking",1,"Creative, Analytical",Bioinformatics Engineer
"Networking, Frontend Development",Hybrid,6.4,"Analytical Thinking, Collaboration, Active Listening",,"Spring Boot, Tableau, Weights & Biases, Looker","Project Management Professional (PMP), PCEP – Certified Entry-Level Python Programmer, Linux Foundation Certified Kubernetes Admin",False,False,2,3D Modeling,"Mobile Application Development, Linear Algebra, Bioinformatics",1,"Innovative, Data-driven",Technical Consultant
"Data Science, Quality Assurance / Testing, Game Development",Remote,8.3,"Goal-Oriented Mindset, Problem Solving, Teamwork, Collaboration, Active Listening","SQL, TypeScript","VS Code, AWS","Docker Certified Associate, Responsive Web Design (freeCodeCamp)",False,False,4,"Gaming, Open Source Contributions","Data Structures and Algorithms, Cloud Computing, Data Mining",2,"Innovative, Result-Oriented",Big Data Engineer
"Cloud Computing, Technical Writing",Remote,9.2,"Strategic Thinking, Innovative Thinking",Kotlin,"Pandas, Jupyter Notebook, Sketch, VS Code, Looker, Jenkins","CompTIA Security+, SAFe Agilist Certification",True,True,6,"Student Government, Tech Meetups, Sports","Discrete Mathematics, User Interface Design",2,"Detail-Oriented, Creative",MS in Data Science
Human Computer Interaction,On-site,8.4,"Conflict Resolution, Strategic Thinking","SQL, C#, JavaScript, Ruby","Weights & Biases, Tableau",,False,False,8,"Tech Meetups, Entrepreneurship Clubs","Machine Learning, Bioinformatics, Computer Vision",0,Logical,Technical Consultant
"Full Stack Development, Human Computer Interaction, Game Development",Hybrid,8.7,"Empathy, Teamwork","SQL, MATLAB","Adobe XD, Postman, Weights & Biases, Looker",,True,False,1,Community Service,"Sociology, Database Management Systems, Cloud Computing",3,Data-driven,Technical Consultant
"Networking, Site Reliability Engineering (SRE)",Remote,7.3,"Active Listening, Leadership, Work Ethic, Strategic Thinking, Planning and Organization","MATLAB, Kotlin, TypeScript, PowerShell","Airflow, React Native, Android Studio, DBT, NumPy","Certified ScrumMaster (CSM), Microsoft Certified: Azure AI Engineer",True,True,1,"Podcast Creation, Teaching/TA Work, Blogging","Cloud Computing, Database Management Systems",4,"User-Centered, Data-driven",Quality Assurance Engineer
"Artificial Intelligence, Big Data",Hybrid,7.0,"Leadership, Goal-Oriented Mindset, Negotiation, Emotional Intelligence, Conflict Resolution",,"Django, TensorFlow, Mocha, Node.js, Grafana","AWS Certified Cloud Practitioner, Project Management Professional (PMP), Machine Learning (Stanford/Coursera)",True,False,7,Community Service,"Natural Language Processing, Operating Systems",0,"Experimental, Result-Oriented",Solutions Architect
Human Computer Interaction,Hybrid,6.8,"Planning and Organization, Business Communication, Communication, Resilience, Leadership","Rust, HTML, Shell (Bash), Java","Node.js, Tableau, Jest, Weights & Biases","AWS Certified Cloud Practitioner, PCEP – Certified Entry-Level Python Programmer, Linux Foundation Certified Kubernetes Admin",False,False,3,"Sports, Innovation Challenges, Tech Meetups","Theory of Computation, Database Management Systems, Bioinformatics",0,Logical,Technical Consultant
"Data Science, Business Analysis, Computer Vision",On-site,9.4,"Resilience, Work Ethic, Conflict Resolution, Attention to Detail","Assembly, CSS, Kotlin, TypeScript","ELK Stack, Figma, AWS, MySQL, Selenium",,True,True,8,"Animation Design, Graphic Design, Open Source Contributions","Cloud Computing, IoT (Internet of Things)",1,"Logical, Collaborative",Big Data Engineer
"Backend Development, Natural Language Processing",Remote,8.2,Innovative Thinking,Julia,"InVision, Airflow, Bitbucket, Helm, DBT, Azure",,True,True,2,Open Source Contributions,"Chemistry, Technical Communication",4,Detail-Oriented,Ph.D. Candidate
"Database Engineering, Frontend Development",Hybrid,9.3,"Problem Solving, Collaboration",TypeScript,"GitLab CI/CD, MySQL, React, Spring Boot",Project Management Professional (PMP),True,False,5,Robotics Competitions,"Web Technologies, Project Management",4,Intuitive,IoT Engineer
"Embedded Systems, Human Computer Interaction",On-site,9.2,"Decision Making, Analytical Thinking, Time Management, Adaptability",,"Prometheus, PostgreSQL, Helm, MySQL, Tableau","Deep Learning Specialization (Coursera), Microsoft Certified Azure Fundamentals",False,False,1,"Hackathons, UI/UX Projects, Podcast Creation","Mobile Application Development, Ethical Hacking, Compiler Design, Computer Architecture",1,"Experimental, User-Centered",Database Administrator
UI/UX Design,Remote,6.6,"Active Listening, Creative Thinking, Empathy, Leadership, Communication",,"GCP, Adobe XD, Figma, PostgreSQL, Sketch, Scikit-learn",,True,True,5,Robotics Competitions,"Web Technologies, Graphic Design",1,User-Centered,UI/UX Designer
Machine Learning,On-site,7.7,Creative Thinking,"SQL, R, Ruby, Haskell","Jupyter Notebook, Scikit-learn, GCP","Google Data Analytics Certificate, Deep Learning Specialization (Coursera), Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate",False,False,1,Music,"Mobile Application Development, Linear Algebra, Sociology, Computer Networks",4,"Analytical, Big Picture Thinker",Data Scientist
"Database Engineering, Technical Writing, Finance Technology",Hybrid,6.3,"Leadership, Creative Thinking","SQL, C#, MATLAB","Xcode, Looker","Frontend Development Libraries (freeCodeCamp), Microsoft Certified: SQL Associate, Machine Learning (Stanford/Coursera)",True,True,5,,"Cloud Computing, Operating Systems, IoT (Internet of Things)",4,"Creative, Data-driven",Research Intern (General)
"Quantum Computing, Project Management, Education Technology",On-site,9.0,"Emotional Intelligence, Multitasking, Active Listening, Teamwork",,"Express.js, InVision, Insomnia, Angular, Jest","HashiCorp Certified: Terraform Associate, Certified ScrumMaster (CSM), Google UX Design Certificate",False,False,3,"Blogging, Music, Entrepreneurship Clubs, Volunteering","Object-Oriented Programming, Psychology",1,Pragmatic,AI Ethicist
"Data Science, Technical Writing",Hybrid,6.1,Negotiation,"SQL, C#, Ruby, MATLAB","IntelliJ IDEA, Hadoop, Android Studio",,True,True,4,Volunteering,"Cloud Infrastructure, Big Data Analytics, User Interface Design, IoT (Internet of Things)",4,"Detail-Oriented, Creative",MS in Data Science
